Time (min),Concentration (uM)
0,0
0.166666667,0.994047619
0.333333333,1.930059524
0.5,2.916666667
0.666666667,3.766369048
0.833333333,4.56547619
1,5.40922619
1.166666667,6.181547619
1.333333333,6.955357143
1.5,7.65625
1.666666667,8.351190476
1.833333333,9.092261905
2,9.760416667
2.166666667,10.4389881
2.333333333,11.14136905
2.5,11.80952381
2.666666667,12.44791667
2.833333333,13.05654762
3,13.68452381
3.166666667,14.27083333
3.333333333,14.9389881
3.5,15.51041667
3.666666667,16.0922619
3.833333333,16.70238095
4,17.2485119
4.166666667,17.85267857
4.333333333,18.33333333
4.5,18.8422619
4.666666667,19.37053571
4.833333333,19.85416667
5,20.36309524
5.166666667,20.82886905
5.333333333,21.27232143
5.5,21.73511905
5.666666667,22.15178571
5.833333333,22.63095238
6,23.02678571
6.166666667,23.45238095
6.333333333,23.8735119
6.5,24.27083333
6.666666667,24.6860119
6.833333333,25.06547619
7,25.44940476
7.166666667,25.80505952
7.333333333,26.14880952
7.5,26.52232143
7.666666667,26.8452381
7.833333333,27.1577381
8,27.46577381
8.166666667,27.77678571
8.333333333,28.10714286
8.5,28.40922619
8.666666667,28.72321429
8.833333333,29.0327381
9,29.30208333
9.166666667,29.5922619
9.333333333,29.86755952
9.5,30.17410714
9.666666667,30.45684524
9.833333333,30.69940476
10,31
10.16666667,31.24107143
10.33333333,31.54464286
10.5,31.76934524
10.66666667,32.00595238
10.83333333,32.25297619
11,32.50297619
11.16666667,32.75297619
11.33333333,32.96428571
11.5,33.20833333
11.66666667,33.41666667
11.83333333,33.61904762
12,33.85416667
12.16666667,34.05654762
12.33333333,34.2797619
12.5,34.47172619
12.66666667,34.64880952
12.83333333,34.8735119
13,35.0639881
13.16666667,35.24553571
13.33333333,35.44047619
13.5,35.63988095
13.66666667,35.84970238
13.83333333,36.02678571
14,36.23065476
14.16666667,36.39136905
14.33333333,36.57738095
14.5,36.77529762
14.66666667,36.9360119
14.83333333,37.13690476
15,37.32589286
